ID,Date,Trial#,Lever,NextLever,WSLS,LeverZmax,LeverZmin,LeverAUC,HLZmax,HLZmin,HLAUC
29,230404,8,3,3,1,0.905033779984725,-2.91477146463471,-107.559893418786,2.59608132158443,-1.5099520205158,26.7454244472999
29,230404,9,3,3,1,1.10010543779683,-1.69798655129127,-24.2848240956512,2.14321623961768,-1.97535704093556,38.8355822888413
29,230404,10,3,3,1,0.546737393632847,-2.40492625731507,-107.264347385989,3.07598531899488,-1.94278350977416,20.9788524765654
29,230404,11,3,3,1,1.5914316200216,-1.18083599887295,31.4438017847126,3.51311721307548,-1.00808114011877,130.099950982536
29,230404,12,3,3,1,2.0199745480149,-1.82500935306629,48.6801877375739,3.34600205115379,-2.20697150308975,116.977368544919
29,230404,13,3,3,1,1.13043747382769,-0.837716194253609,-7.71691400489561,0.810300259937668,-2.48335752915499,-94.9779184277185
29,230404,14,3,3,1,1.73293016876418,-0.978894990309044,33.1071313778741,2.01854767336212,-1.84804292179479,37.0550094779771
29,230404,15,3,3,1,1.57517801192189,-3.89415601122564,-76.6712666634694,2.91809430349225,-2.14166364463591,7.85117007916497
29,230404,16,3,3,1,3.01101974863343,-0.853961761162049,55.9769807952592,3.25031244202454,-0.291631586267878,110.776893081501
29,230404,17,3,3,1,1.81551674556998,-2.13389951352324,-26.4842544198595,2.41828083405815,-1.77914906690615,12.6461164112984
29,230404,18,3,3,1,0.918334113717143,-2.39645707863889,-63.857650672918,1.79073450008585,-2.12588412277174,39.2773237044577
29,230404,19,3,3,1,1.3850544652046,-1.77799606510648,0.794690155754225,1.57584332180697,-1.40593332678318,-6.80812099036842
29,230404,20,3,9,0,-0.172275583957765,-3.22766771009984,-125.246911513182,1.37761443505612,-1.45118212072608,-8.81342749777325
29,230404,21,3,3,1,0.45656089581305,-3.26163389053597,-89.2067112576907,0.426521360486279,-2.37006288759433,-62.9776090199395
29,230404,22,3,3,1,1.82926695559337,-2.87818416071347,-5.32743700323886,2.26540382747848,-2.16861889718725,74.8949780050919
29,230404,23,3,3,1,2.59057918776609,-0.674441271393809,121.174226571466,3.69791262037982,-0.791601794399294,140.548579381463
29,230404,24,3,3,1,0.0827986114128165,-2.36251737152162,-106.774121156149,2.00612412908684,0.342421924249656,99.3609576923884
29,230404,25,3,3,1,1.69632878357296,-1.68188909531958,62.4888886126915,2.18181462240065,0.0598938404051473,127.685381266528
29,230404,26,3,3,1,3.4744037107166,-2.70167560681431,93.5018517982982,1.79632029196971,-1.83703071377822,4.09641310798039
29,230404,27,3,2,1,2.07085823011624,0.0224788440061394,119.402230015601,1.81637561646116,-0.0442694592303354,99.2144811177317
29,230404,28,2,3,4,0.428095751735593,-1.82661774255954,-62.1123302080005,0.868849689610096,-1.21474551731603,13.028154651908
29,230404,29,3,3,1,2.28276996132389,-0.663019149618351,118.508406077531,1.96680731695254,-0.0276923305348249,128.039057980355
29,230404,30,3,3,1,3.83389845152808,-1.27014735587241,176.595619113042,4.40882166148493,0.0820606911094754,156.00597814285
29,230404,31,3,3,1,1.832879318867,-2.03155861019001,14.858963575788,1.62089492284338,-2.04572784725467,-44.4382331407748
29,230404,32,3,3,1,1.64671907223116,-0.762421755894868,51.9915989227495,3.99917211505904,0.0833930033636923,204.831851082946
29,230404,33,3,3,1,2.90638863569723,-0.995142170057001,79.896019668788,3.01696103768873,-0.643636784605886,105.974128519803
29,230404,34,3,2,1,2.50702426214769,-1.84413827312484,50.7849830105973,6.14363315173561,2.24049581490005,422.121646711348
29,230404,35,2,3,4,3.56432706305695,-8.21871169239294,-215.664087329558,2.23723052940018,-0.524037547805419,103.903588752903
29,230404,36,3,2,1,4.23082663871252,0.971975337097552,254.821947569225,3.18971850646421,-2.15920650160584,26.0614216208135
29,230404,37,2,3,4,2.38122562836204,-0.79706321063648,55.9486326453409,2.67035589702191,-0.00884633735366123,131.185160437841
29,230404,38,3,3,1,2.45668074060081,-1.00055466568182,118.091698043643,2.42549225723918,-1.14254483766259,41.6089430244881
29,230404,39,3,2,1,2.81968825673826,-1.12626413025142,155.717854827482,2.98044737868833,-0.413573860543442,116.936090493496
29,230404,40,2,9,0,3.6634052119392,-0.124664028181508,167.466847977412,4.57456475803743,-0.139930659330209,184.395031817986
29,230404,41,2,2,4,0.695253704281744,-3.27490486330112,-135.420313370414,2.34742862093229,-1.11560718840395,49.9886213441711
29,230404,42,2,2,4,4.34440133658705,-1.4376758847408,55.3311819776987,2.54379513795982,-1.57994729914766,39.700101636151
29,230404,43,2,2,4,5.4186976251392,-0.411437368920091,252.467531898237,5.79051935549116,0.255506107462953,292.376713440246
29,230404,44,2,3,4,4.81542623280611,1.37111126669951,298.561611620595,2.11393647088678,-1.00548813796344,39.1723998891458
29,230404,45,3,2,1,6.68801298564587,0.800041179060704,317.039778782767,1.91121563666447,-3.37385681320572,-33.5771793817307
29,230404,46,2,2,4,3.02340288656291,-2.73587421904548,-53.0631845916558,1.88215611093508,-1.84036263024649,9.77770532947193
29,230404,47,2,2,4,1.66392527982781,-2.57401673356907,-68.2303846434672,1.08471396202002,-2.53404253690085,-51.263480993712
29,230404,48,2,2,4,4.014321968605,-1.43603771695776,149.733855273171,1.60635231581525,-2.27162693074372,-101.755174705061
29,230404,49,2,3,4,3.50476262050434,-4.16238435589215,12.6923946909767,1.79611448795624,-1.85861503333985,-0.375502723584773
29,230404,50,3,2,1,4.95702785561329,-0.493607640470548,252.749019195897,1.00499348047209,-1.3274864663787,3.36862746397905
29,230404,51,2,2,4,3.74503856109735,-1.464186911871,103.0939200156,3.79912868389708,-1.38335439279377,149.859963842537
29,230404,52,2,2,4,3.7649806976424,-2.71428850650594,28.679872961887,1.56307177075825,-1.04597295973733,4.92634835981848
29,230404,53,2,2,4,1.89590968416006,-1.09212087557363,2.41225073647487,2.49736510582655,0.609458369009199,162.495249014819
29,230404,54,2,3,4,5.12964265075571,-2.88483891070534,142.804176788419,1.97682628973034,-2.56924954482887,-1.74161176204587
29,230404,55,3,2,1,5.89093666262954,1.64622437100157,355.231777817891,2.89530953807783,-1.3795621172261,54.9319325862969
29,230404,56,2,2,4,5.33921018335988,-1.16853370085938,180.986034649566,3.56103733025519,0.835504743241974,210.553685722979
29,230404,57,2,3,4,2.52532162076162,-0.439375621270064,106.297370653539,2.14758045063054,-1.07240613042511,68.4802671577555
