ID,Date,Trial#,Lever,NextLever,WSLS,LeverZmax,LeverZmin,LeverAUC,HLZmax,HLZmin,HLAUC,Shock
16,230109,1,3,3,1,0.638862507,-3.369211343,-120.883876,2.617163127,-2.032132947,72.16757851,100
16,230109,2,3,3,1,0.878109031,-1.981137339,-66.7953638,0.658482963,-1.095186729,-32.44614699,100
16,230109,3,3,3,1,2.640586941,-0.63413976,113.2140412,0.667615319,-2.44130616,-57.15942961,100
16,230109,4,3,3,1,0.099953503,-2.239734276,-130.833715,4.908244984,0.544898393,286.3471695,100
16,230109,5,3,3,1,1.017006361,-0.308542103,30.05486212,1.457302689,0.631556562,96.95809999,100
16,230109,6,3,3,1,-0.288633594,-5.446357302,-302.9216373,-0.023625456,-1.345536604,-72.85022794,100
16,230109,7,3,3,1,1.17056707,-1.727347099,-41.10867738,2.741039698,1.020231314,173.0714956,100
16,230109,8,3,3,1,2.926670352,0.845905637,179.1117324,3.232294987,-2.164691761,77.24142085,100
16,230109,9,3,3,1,-0.125178013,-0.919340433,-58.69662994,1.197925249,-0.543947785,33.08054335,100
16,230109,10,3,3,1,-1.866929119,-5.3016442,-352.2205331,0.132752381,-3.37692001,-128.1004506,100
16,230109,11,3,3,1,0.335926656,-1.945463479,-95.87487194,0.081034523,-1.818132412,-83.78245056,100
16,230109,12,3,3,1,1.442743789,-2.420532992,-72.39251152,3.776737353,-3.882453211,-58.51996693,100
16,230109,13,3,3,1,0.59355567,-1.839103402,-94.51987435,-2.433728308,-4.072998813,-319.0298576,100
16,230109,14,3,3,1,1.365026365,-1.205262086,3.726253431,0.595847289,-0.948544164,-37.81106203,100
16,230109,15,3,3,1,3.663835961,-3.454779161,-29.75667509,3.816233765,0.729360963,182.1826086,100
16,230109,16,3,3,1,1.017748345,-2.235922699,-99.55696891,4.362382026,0.366641622,232.6551079,100
16,230109,17,3,3,1,1.313830085,-0.971615884,9.665244783,0.991291034,-1.528435564,-5.507178623,100
16,230109,18,3,3,1,0.165010975,-1.44049047,-74.75774093,1.085909665,-1.096761729,-41.65005962,100
16,230109,19,3,3,1,0.879446571,-0.91537916,3.800153368,1.557414904,-0.053014907,80.49367036,100
16,230109,20,3,9,0,0.790749171,-2.314208282,-98.20948392,3.104008047,-1.449751049,104.317454,100
16,230109,21,3,2,1,1.327565263,-2.075429777,-74.11315029,3.140363142,-2.388741692,-14.25879015,100
16,230109,22,2,3,4,1.01348927,-0.201104524,37.97961127,2.043775868,0.20130565,97.90929046,100
16,230109,23,3,3,1,1.279472945,0.466495672,102.4010569,3.338078931,0.852895201,225.3525128,100
16,230109,24,3,3,1,0.922766034,-2.325989369,-56.67961517,0.963483688,-2.618069107,-92.45734371,100
16,230109,25,3,3,1,0.928536061,-2.505649745,-99.1986109,1.868678056,-2.304993931,-10.5693154,100
16,230109,26,3,3,1,0.431871618,-2.947418909,-133.4646481,1.308474719,-1.475737351,26.59582689,100
16,230109,27,3,1,3,0.14637116,-0.805181385,-31.45194624,0.758030102,-1.030347087,-10.42644413,100
16,230109,28,1,2,0,1.355577459,-2.522267977,-58.55171624,3.152203725,-0.154326147,100.8662596,100
16,230109,29,2,3,4,1.820777547,-0.804652828,46.71020567,2.838574701,-0.98915988,116.4622137,100
16,230109,30,3,3,1,1.627537282,-1.713995798,3.123317507,4.735524646,0.006335845,246.0833413,100
16,230109,31,3,3,1,1.929120557,-1.964015573,-22.73254319,1.681894411,-1.737052081,-5.493721173,100
16,230109,32,3,3,1,0.683582017,-0.248165446,28.88695205,1.456698994,-0.105537898,73.37058704,100
16,230109,33,3,3,1,1.897380736,-1.417766085,17.53022746,1.970379669,-1.071473241,42.82952259,100
16,230109,34,3,2,1,-0.256677823,-3.158737671,-179.5920558,1.223393071,-1.40465879,-24.89249631,100
16,230109,35,2,3,4,1.149036843,-2.336627788,-33.84808607,0.337193551,-2.908247526,-146.5831248,100
16,230109,36,3,3,1,3.529756358,-1.35663751,122.6659927,2.213279093,-0.076758697,107.1492052,100
16,230109,37,3,2,1,1.309925117,-0.105333641,56.0179247,3.722377197,0.78148993,236.5562188,100
16,230109,38,2,3,4,2.289950677,-2.155320001,40.70765179,1.072080713,-2.285268913,-37.15557575,100
16,230109,39,3,3,1,1.291856401,-3.081652007,-66.91295278,3.320305059,-0.361065338,209.5302451,100
16,230109,40,3,9,0,2.022000313,-2.406552878,-5.813807438,1.562978076,-1.518656664,19.05521259,100
16,230109,41,2,2,4,2.076779592,-1.251495581,21.7158633,0.424163533,-2.061916454,-92.62232888,100
16,230109,42,2,2,4,0.84098061,-2.209706921,-48.69411332,-0.002932918,-3.422169132,-184.9754414,100
16,230109,43,2,3,4,0.714787587,-2.478254502,-105.3694301,1.330623966,-0.551766122,41.05843007,100
16,230109,44,3,2,1,1.609439097,-1.366901089,0.459970805,1.567707538,-1.117909458,-2.808122632,100
16,230109,45,2,3,4,3.10882317,-1.642222792,114.6065664,5.691437693,-0.647917566,280.7840162,100
